latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
32.724034,-80.572012,016,037,2284,5558,2026-07-21,1553,L8,high,D
33.567714,-80.424384,016,037,2728,2438,2026-07-21,1553,L8,high,D
33.09165,-80.350353,016,037,2968,4196,2026-07-21,1553,L8,high,D
33.091379,-80.350355,016,037,2968,4197,2026-07-21,1553,L8,high,D
33.091648,-80.350032,016,037,2969,4196,2026-07-21,1553,L8,high,D
33.091378,-80.350034,016,037,2969,4197,2026-07-21,1553,L8,medium,D
33.046096,-80.332695,016,037,3024,4364,2026-07-21,1553,L8,high,D
33.045825,-80.332697,016,037,3024,4365,2026-07-21,1553,L8,high,D
33.030599,-80.319319,016,037,3066,4421,2026-07-21,1553,L8,low,D
32.746996,-80.318282,016,037,3076,5469,2026-07-21,1553,L8,high,D
32.746725,-80.318284,016,037,3076,5470,2026-07-21,1553,L8,high,D
32.746994,-80.317962,016,037,3077,5469,2026-07-21,1553,L8,high,D
32.746724,-80.317964,016,037,3077,5470,2026-07-21,1553,L8,high,D
33.946676,-80.252704,016,037,3249,1034,2026-07-21,1553,L8,high,D
33.946944,-80.252377,016,037,3250,1033,2026-07-21,1553,L8,high,D
33.946674,-80.252379,016,037,3250,1034,2026-07-21,1553,L8,high,D
32.812975,-80.261698,016,037,3251,5224,2026-07-21,1553,L8,low,D
32.812973,-80.261378,016,037,3252,5224,2026-07-21,1553,L8,high,D
32.945341,-80.181008,016,037,3499,4733,2026-07-21,1553,L8,high,D
32.945339,-80.180687,016,037,3500,4733,2026-07-21,1553,L8,high,D
33.75385,-80.141335,016,037,3598,1744,2026-07-21,1553,L8,high,D
32.992115,-80.096769,016,037,3760,4558,2026-07-21,1553,L8,low,D
32.881507,-80.033432,016,037,3961,4965,2026-07-21,1553,L8,high,D
32.875006,-80.032541,016,037,3964,4989,2026-07-21,1553,L8,high,D
32.874735,-80.032544,016,037,3964,4990,2026-07-21,1553,L8,high,D
32.874465,-80.032547,016,037,3964,4991,2026-07-21,1553,L8,high,D
32.875274,-80.032217,016,037,3965,4988,2026-07-21,1553,L8,high,D
32.875003,-80.03222,016,037,3965,4989,2026-07-21,1553,L8,high,D
32.874733,-80.032223,016,037,3965,4990,2026-07-21,1553,L8,high,D
32.874462,-80.032226,016,037,3965,4991,2026-07-21,1553,L8,high,D
32.874192,-80.032229,016,037,3965,4992,2026-07-21,1553,L8,high,D
32.873921,-80.032232,016,037,3965,4993,2026-07-21,1553,L8,high,D
32.875271,-80.031897,016,037,3966,4988,2026-07-21,1553,L8,high,D
32.875001,-80.0319,016,037,3966,4989,2026-07-21,1553,L8,high,D
32.87473,-80.031903,016,037,3966,4990,2026-07-21,1553,L8,high,D
32.87446,-80.031905,016,037,3966,4991,2026-07-21,1553,L8,high,D
32.874998,-80.031579,016,037,3967,4989,2026-07-21,1553,L8,high,D
33.015308,-79.88616,016,037,4415,4466,2026-07-21,1553,L8,medium,D
32.936612,-79.831955,016,037,4587,4755,2026-07-21,1553,L8,high,D
33.061389,-79.779216,016,037,4746,4292,2026-07-21,1553,L8,high,D
33.061657,-79.778891,016,037,4747,4291,2026-07-21,1553,L8,high,D
33.061386,-79.778895,016,037,4747,4292,2026-07-21,1553,L8,high,D
33.061116,-79.778899,016,037,4747,4293,2026-07-21,1553,L8,high,D
33.174135,-79.665366,016,037,5095,3871,2026-07-21,1553,L8,low,D
33.174403,-79.66504,016,037,5096,3870,2026-07-21,1553,L8,high,D
33.174132,-79.665044,016,037,5096,3871,2026-07-21,1553,L8,high,D
33.174125,-79.664401,016,037,5098,3871,2026-07-21,1553,L8,low,D
33.173855,-79.664405,016,037,5098,3872,2026-07-21,1553,L8,high,D
33.174392,-79.664075,016,037,5099,3870,2026-07-21,1553,L8,high,D
33.174122,-79.664079,016,037,5099,3871,2026-07-21,1553,L8,high,D
33.173851,-79.664083,016,037,5099,3872,2026-07-21,1553,L8,high,D
33.173581,-79.664088,016,037,5099,3873,2026-07-21,1553,L8,high,D
33.174659,-79.663749,016,037,5100,3869,2026-07-21,1553,L8,high,D
33.174389,-79.663754,016,037,5100,3870,2026-07-21,1553,L8,high,D
33.174118,-79.663758,016,037,5100,3871,2026-07-21,1553,L8,high,D
33.173848,-79.663762,016,037,5100,3872,2026-07-21,1553,L8,high,D
33.173577,-79.663766,016,037,5100,3873,2026-07-21,1553,L8,high,D
33.172672,-79.655093,016,037,5127,3876,2026-07-21,1553,L8,high,D
33.418081,-79.559047,016,037,5413,2965,2026-07-21,1553,L8,high,D
33.066541,-79.552593,016,037,5451,4264,2026-07-21,1553,L8,high,D
31.296097,-81.498737,016,038,555,5523,2026-07-21,1554,L8,high,D
32.077834,-81.309667,016,038,1163,2637,2026-07-21,1554,L8,high,D
32.077563,-81.309666,016,038,1163,2638,2026-07-21,1554,L8,high,D
32.078105,-81.30935,016,038,1164,2636,2026-07-21,1554,L8,high,D
32.077835,-81.309349,016,038,1164,2637,2026-07-21,1554,L8,high,D
32.077564,-81.309348,016,038,1164,2638,2026-07-21,1554,L8,high,D
32.344971,-81.304835,016,038,1181,1650,2026-07-21,1554,L8,high,D
32.3447,-81.304834,016,038,1181,1651,2026-07-21,1554,L8,high,D
32.344972,-81.304516,016,038,1182,1650,2026-07-21,1554,L8,high,D
32.271184,-81.005468,016,038,2120,1924,2026-07-21,1554,L8,high,D
32.487499,-80.778132,016,038,2832,1124,2026-07-21,1554,L8,high,D
32.487228,-80.778133,016,038,2832,1125,2026-07-21,1554,L8,high,D
32.486957,-80.778133,016,038,2832,1126,2026-07-21,1554,L8,high,D
32.486687,-80.778134,016,038,2832,1127,2026-07-21,1554,L8,low,D
32.487498,-80.777813,016,038,2833,1124,2026-07-21,1554,L8,high,D
32.487227,-80.777813,016,038,2833,1125,2026-07-21,1554,L8,low,D
32.46502,-80.768929,016,038,2861,1207,2026-07-21,1554,L8,high,D
32.464749,-80.76893,016,038,2861,1208,2026-07-21,1554,L8,high,D
32.666904,-80.766492,016,038,2867,461,2026-07-21,1554,L8,high,D
32.66663,-80.764573,016,038,2873,462,2026-07-21,1554,L8,low,D
30.788782,-81.735024,016,039,993,2093,2026-07-21,1554,L8,low,D
30.788512,-81.735022,016,039,993,2094,2026-07-21,1554,L8,high,D
30.802116,-81.722582,016,039,1033,2044,2026-07-21,1554,L8,high,D
30.801846,-81.72258,016,039,1033,2045,2026-07-21,1554,L8,high,D
30.802118,-81.722269,016,039,1034,2044,2026-07-21,1554,L8,high,D
30.801847,-81.722267,016,039,1034,2045,2026-07-21,1554,L8,high,D
30.689515,-81.721116,016,039,1035,2460,2026-07-21,1554,L8,high,D
30.689244,-81.721114,016,039,1035,2461,2026-07-21,1554,L8,high,D
30.51571,-81.672929,016,039,1185,3103,2026-07-21,1554,L8,high,D
30.51544,-81.672927,016,039,1185,3104,2026-07-21,1554,L8,high,D
30.515712,-81.672617,016,039,1186,3103,2026-07-21,1554,L8,high,D
30.515441,-81.672615,016,039,1186,3104,2026-07-21,1554,L8,high,D
30.515713,-81.672304,016,039,1187,3103,2026-07-21,1554,L8,high,D
30.515443,-81.672302,016,039,1187,3104,2026-07-21,1554,L8,high,D
31.296097,-81.498737,016,039,1755,223,2026-07-21,1554,L8,high,D
29.787563,-81.460979,016,039,1852,5796,2026-07-21,1554,L8,high,D
